date,division,district,upazila,disease,cases,deaths,population
2023-01-08,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-01-08,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-01-08,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-01-09,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-09,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-09,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-01-09,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-01-09,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-09,Khulna,Jashore,Jashore Sadar,Diarrhea,9,0,200000
2023-01-10,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-10,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-01-10,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-01-10,Khulna,Jashore,Jashore Sadar,Measles,5,0,200000
2023-01-10,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-10,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-01-11,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-11,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-01-11,Dhaka,Dhaka District,Dhamrai,Diarrhea,7,0,200000
2023-01-11,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-01-11,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-01-11,Khulna,Jashore,Jashore Sadar,Diarrhea,8,0,200000
2023-01-12,Dhaka,Dhaka District,Dhamrai,Measles,4,0,200000
2023-01-12,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-12,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-01-12,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-01-12,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-12,Khulna,Jashore,Jashore Sadar,Diarrhea,7,0,200000
2023-01-15,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-15,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-01-15,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-15,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-01-15,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-15,Khulna,Jashore,Jashore Sadar,Diarrhea,1,0,200000
2023-01-16,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-16,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-16,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-16,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-01-16,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-01-16,Khulna,Jashore,Jashore Sadar,Diarrhea,7,0,200000
2023-01-17,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-17,Dhaka,Dhaka District,Dhamrai,Dengue,0,0,200000
2023-01-17,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-17,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-01-17,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-01-17,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-01-18,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-01-18,Dhaka,Dhaka District,Dhamrai,Dengue,6,0,200000
2023-01-18,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-01-18,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-01-18,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-01-18,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-01-19,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-01-19,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-01-19,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-19,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-01-19,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-19,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-22,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-22,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-01-22,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-01-22,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-01-22,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-22,Khulna,Jashore,Jashore Sadar,Diarrhea,8,0,200000
2023-01-23,Dhaka,Dhaka District,Dhamrai,Measles,4,0,200000
2023-01-23,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-01-23,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-01-23,Khulna,Jashore,Jashore Sadar,Measles,6,0,200000
2023-01-23,Khulna,Jashore,Jashore Sadar,Dengue,0,0,200000
2023-01-23,Khulna,Jashore,Jashore Sadar,Diarrhea,8,0,200000
2023-01-24,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-24,Dhaka,Dhaka District,Dhamrai,Dengue,8,0,200000
2023-01-24,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-01-24,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-01-24,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-24,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-25,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-25,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-01-25,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-25,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-01-25,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-01-25,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-01-26,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-01-26,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-01-26,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-26,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-01-26,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-26,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-01-29,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-29,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-01-29,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-01-29,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-01-29,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-29,Khulna,Jashore,Jashore Sadar,Diarrhea,1,0,200000
2023-01-30,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-01-30,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-01-30,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-01-30,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-01-30,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-01-30,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-01-31,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-01-31,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-01-31,Dhaka,Dhaka District,Dhamrai,Diarrhea,7,0,200000
2023-01-31,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-01-31,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-01-31,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-02-01,Dhaka,Dhaka District,Dhamrai,Measles,0,0,200000
2023-02-01,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-01,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-02-01,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-02-01,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-02-01,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-02-02,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-02,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-02-02,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-02,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-02-02,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-02-02,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-02-05,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-05,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-02-05,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-02-05,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-02-05,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-02-05,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-02-06,Dhaka,Dhaka District,Dhamrai,Measles,6,0,200000
2023-02-06,Dhaka,Dhaka District,Dhamrai,Dengue,6,0,200000
2023-02-06,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-02-06,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-06,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-02-06,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-02-07,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-02-07,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-07,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-02-07,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-02-07,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-02-07,Khulna,Jashore,Jashore Sadar,Diarrhea,1,0,200000
2023-02-08,Dhaka,Dhaka District,Dhamrai,Measles,0,0,200000
2023-02-08,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-02-08,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-08,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-08,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-02-08,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-02-09,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-09,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-09,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-02-09,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-02-09,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-02-09,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-02-12,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-12,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-02-12,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-12,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-12,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-02-12,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-02-13,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-13,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-02-13,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-13,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-02-13,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-02-13,Khulna,Jashore,Jashore Sadar,Diarrhea,7,0,200000
2023-02-14,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-14,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-02-14,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-02-14,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-14,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-02-14,Khulna,Jashore,Jashore Sadar,Diarrhea,8,0,200000
2023-02-15,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-15,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-02-15,Dhaka,Dhaka District,Dhamrai,Diarrhea,9,0,200000
2023-02-15,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-02-15,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-02-15,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-02-16,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-16,Dhaka,Dhaka District,Dhamrai,Dengue,6,0,200000
2023-02-16,Dhaka,Dhaka District,Dhamrai,Diarrhea,7,0,200000
2023-02-16,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-02-16,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-02-16,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-02-19,Dhaka,Dhaka District,Dhamrai,Measles,4,0,200000
2023-02-19,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-02-19,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-02-19,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-02-19,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-02-19,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-02-20,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-20,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-20,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-02-20,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-20,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-02-20,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-02-21,Dhaka,Dhaka District,Dhamrai,Measles,8,0,200000
2023-02-21,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-02-21,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-02-21,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-21,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-02-21,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-02-22,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-22,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-22,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-02-22,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-02-22,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-02-22,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-02-23,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-02-23,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-02-23,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-23,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-23,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-02-23,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-02-26,Dhaka,Dhaka District,Dhamrai,Measles,5,0,200000
2023-02-26,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-02-26,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-02-26,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-02-26,Khulna,Jashore,Jashore Sadar,Dengue,0,0,200000
2023-02-26,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-02-27,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-27,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-02-27,Dhaka,Dhaka District,Dhamrai,Diarrhea,1,0,200000
2023-02-27,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-02-27,Khulna,Jashore,Jashore Sadar,Dengue,0,0,200000
2023-02-27,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-02-28,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-02-28,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-02-28,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-02-28,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-02-28,Khulna,Jashore,Jashore Sadar,Dengue,6,0,200000
2023-02-28,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-03-01,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-01,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-03-01,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-03-01,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-01,Khulna,Jashore,Jashore Sadar,Dengue,4,0,200000
2023-03-01,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-03-02,Dhaka,Dhaka District,Dhamrai,Measles,4,0,200000
2023-03-02,Dhaka,Dhaka District,Dhamrai,Dengue,5,0,200000
2023-03-02,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-03-02,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-02,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-03-02,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-03-05,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-05,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-03-05,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-03-05,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-03-05,Khulna,Jashore,Jashore Sadar,Dengue,6,0,200000
2023-03-05,Khulna,Jashore,Jashore Sadar,Diarrhea,1,0,200000
2023-03-06,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-06,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-03-06,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-03-06,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-03-06,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-06,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-03-07,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-07,Dhaka,Dhaka District,Dhamrai,Dengue,7,0,200000
2023-03-07,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-07,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-03-07,Khulna,Jashore,Jashore Sadar,Dengue,6,0,200000
2023-03-07,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-03-08,Dhaka,Dhaka District,Dhamrai,Measles,0,0,200000
2023-03-08,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-03-08,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-03-08,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-03-08,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-08,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-03-09,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-09,Dhaka,Dhaka District,Dhamrai,Dengue,0,0,200000
2023-03-09,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-03-09,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-09,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-09,Khulna,Jashore,Jashore Sadar,Diarrhea,5,0,200000
2023-03-12,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-12,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-03-12,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-12,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-03-12,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-03-12,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-03-13,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-13,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-03-13,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-13,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-13,Khulna,Jashore,Jashore Sadar,Dengue,5,0,200000
2023-03-13,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-03-14,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-14,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-03-14,Dhaka,Dhaka District,Dhamrai,Diarrhea,2,0,200000
2023-03-14,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-03-14,Khulna,Jashore,Jashore Sadar,Dengue,6,0,200000
2023-03-14,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-03-15,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-15,Dhaka,Dhaka District,Dhamrai,Dengue,4,0,200000
2023-03-15,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-15,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-03-15,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-15,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-03-16,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-16,Dhaka,Dhaka District,Dhamrai,Dengue,6,0,200000
2023-03-16,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-03-16,Khulna,Jashore,Jashore Sadar,Measles,0,0,200000
2023-03-16,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-16,Khulna,Jashore,Jashore Sadar,Diarrhea,6,0,200000
2023-03-19,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-19,Dhaka,Dhaka District,Dhamrai,Dengue,2,0,200000
2023-03-19,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-19,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-19,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
2023-03-19,Khulna,Jashore,Jashore Sadar,Diarrhea,4,0,200000
2023-03-20,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-20,Dhaka,Dhaka District,Dhamrai,Dengue,1,0,200000
2023-03-20,Dhaka,Dhaka District,Dhamrai,Diarrhea,4,0,200000
2023-03-20,Khulna,Jashore,Jashore Sadar,Measles,3,0,200000
2023-03-20,Khulna,Jashore,Jashore Sadar,Dengue,2,0,200000
2023-03-20,Khulna,Jashore,Jashore Sadar,Diarrhea,3,0,200000
2023-03-21,Dhaka,Dhaka District,Dhamrai,Measles,1,0,200000
2023-03-21,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-03-21,Dhaka,Dhaka District,Dhamrai,Diarrhea,5,0,200000
2023-03-21,Khulna,Jashore,Jashore Sadar,Measles,2,0,200000
2023-03-21,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-03-21,Khulna,Jashore,Jashore Sadar,Diarrhea,7,0,200000
2023-03-22,Dhaka,Dhaka District,Dhamrai,Measles,2,0,200000
2023-03-22,Dhaka,Dhaka District,Dhamrai,Dengue,0,0,200000
2023-03-22,Dhaka,Dhaka District,Dhamrai,Diarrhea,6,0,200000
2023-03-22,Khulna,Jashore,Jashore Sadar,Measles,1,0,200000
2023-03-22,Khulna,Jashore,Jashore Sadar,Dengue,1,0,200000
2023-03-22,Khulna,Jashore,Jashore Sadar,Diarrhea,2,0,200000
2023-03-23,Dhaka,Dhaka District,Dhamrai,Measles,3,0,200000
2023-03-23,Dhaka,Dhaka District,Dhamrai,Dengue,3,0,200000
2023-03-23,Dhaka,Dhaka District,Dhamrai,Diarrhea,3,0,200000
2023-03-23,Khulna,Jashore,Jashore Sadar,Measles,4,0,200000
2023-03-23,Khulna,Jashore,Jashore Sadar,Dengue,3,0,200000
